ID externo,Marca,Descripcion,Proveedor/Display Name
__export__.tool_brand_1_39b87910,Bosch,"BOSCH es una compañía multinacional de ingeniería y tecnología con oficinas centrales en Stuttgart, Alemania. La compañía fue fundada por Robert Bosch en 1886.2​ Es propietaria de la compañía con el 92%, la institución caritativa Robert Bosch Stiftung.",proveedor1
__export__.tool_brand_2_386bda43,Stanley,"Stanley Hand Tools es una marca de herramientas manuales. Es una división de Stanley Black & Decker, tras la fusión de The Stanley Works con Black & Decker en marzo de 2010.",proveedor1
__export__.tool_brand_3_263f330e,DeWalt,"DeWalt es una marca de herramientas motorizadas para las industrias de la construcción y la carpintería. La compañía inicial fue puesta en marcha en 1924 por Raymond E. DeWalt, el inventor de la sierra de brazo radial.",proveedor2
__export__.tool_brand_4_daf79022,Makita,Makita Corporation es un fabricante japonés de herramientas eléctricas. Fundada el 21 de marzo de 1915,proveedor2
__export__.tool_brand_5_c66a2a42,Einhell,Einhell Germany AG es un fabricante alemán de herramientas eléctricas y equipos de jardinería eléctrica,proveedor2
__export__.tool_brand_6_be1cbb63,Metabo,"Metabowerke GmbH, con sede en Nürtingen, Alemania, es un fabricante de herramientas eléctricas de alta calidad para usuarios profesionales.",proveedor1
__export__.tool_brand_7_978776fe,Dremel,Dremel es una marca estadounidense de herramientas eléctricas conocida principalmente por sus herramientas rotativas.,proveedor2
